Date,Power (kW),Temperature (C),Humidity (%),SolarRad (W/m2),rain (mm/h),weekend_holiday,Power_second_derivative (kW),Power-1 (kW),Power_week (kW)
2019-04-02 06:00:00,167.286,11.258333333333333,80.10833333333333,25.534666666666663,0.0,0,56.09,149.483,109.15
2019-04-02 07:00:00,241.179,12.106666666666667,77.54166666666667,173.00833333333333,0.0,0,53.18399999999997,167.286,126.083
2019-04-02 08:00:00,368.256,12.276666666666666,77.28333333333333,378.2083333333333,0.0,0,-37.71299999999994,241.179,201.54
2019-04-02 09:00:00,457.62,13.699166666666663,67.785,570.6833333333333,0.0,0,-70.06700000000006,368.256,302.554
2019-04-02 10:00:00,476.917,15.138333333333334,59.635,712.25,0.0,0,-4.969999999999914,457.62,293.929
2019-04-02 11:00:00,491.244,16.274166666666666,57.13,812.5833333333334,0.0,0,-5.821000000000083,476.917,314.555
2019-04-02 12:00:00,499.75,17.532500000000002,50.54833333333334,878.75,0.0,0,-18.395999999999958,491.244,322.341
2019-04-02 13:00:00,489.86,18.08,48.73416666666666,846.0833333333334,0.0,0,10.82099999999997,499.75,333.591
2019-04-02 14:00:00,490.791,18.614166666666662,48.1675,765.4916666666667,0.0,0,-7.986999999999966,489.86,323.333
2019-04-02 15:00:00,483.735,18.765833333333333,46.8475,502.6775,0.0,0,11.500999999999976,490.791,319.184
2019-04-02 16:00:00,488.18,17.326666666666664,53.399166666666666,166.53083333333333,0.0,0,-38.186000000000035,483.735,316.4
2019-04-02 17:00:00,454.439,16.19333333333333,56.615,215.03333333333333,0.0,0,-38.06800000000004,488.18,315.27
2019-04-02 18:00:00,382.63,14.415833333333332,64.09166666666667,59.49525,0.0,0,-39.44599999999997,454.439,288.535
2019-04-02 19:00:00,271.375,13.053333333333336,68.4275,2.6624166666666667,0.0,0,75.28700000000003,382.63,243.052
2019-04-02 20:00:00,235.407,12.37,69.135,2.5269166666666667,0.0,0,-4.388000000000034,271.375,193.109
2019-04-02 21:00:00,195.051,12.1375,67.80416666666666,1.8416666666666668,0.0,0,13.817000000000036,235.407,161.553
2019-04-02 22:00:00,168.512,11.814166666666669,69.16250000000001,3.048916666666667,0.0,0,11.007999999999981,195.051,145.23
2019-04-02 23:00:00,152.981,11.46,70.5625,2.3725,0.0,0,-32.990999999999985,168.512,134.882
2019-04-03 00:00:00,104.459,11.098333333333334,71.1225,3.032666666666666,0.0,0,46.495999999999995,152.981,123.933
2019-04-03 01:00:00,102.433,10.751666666666669,70.68166666666667,2.857416666666667,0.0,0,1.3869999999999862,104.459,121.457
2019-04-03 02:00:00,101.794,10.424166666666666,70.74166666666666,3.9301666666666666,0.0,0,-1.228999999999985,102.433,102.672
2019-04-03 03:00:00,99.926,10.249166666666666,69.8575,3.796833333333333,0.0,0,2.451999999999998,101.794,100.896
2019-04-03 04:00:00,100.51,10.020833333333334,70.26666666666667,3.77825,0.0,0,14.690999999999988,99.926,96.978
2019-04-03 05:00:00,115.785,9.839166666666667,70.22583333333334,3.326,0.0,0,0.49800000000000466,100.51,97.387
2019-04-03 06:00:00,131.558,9.784166666666666,69.205,17.008,0.0,0,49.041000000000025,115.785,109.277
2019-04-03 07:00:00,196.372,10.501666666666669,66.5,140.61666666666667,0.0,0,43.61899999999997,131.558,124.419
2019-04-03 08:00:00,304.805,11.459166666666668,56.835,254.3,0.0,0,-86.28300000000002,196.372,204.272
2019-04-03 09:00:00,326.955,11.900833333333331,54.51499999999999,371.85,0.0,0,-54.14599999999996,304.805,304.754
2019-04-03 10:00:00,294.959,11.626666666666669,55.767500000000005,294.9166666666667,0.0,0,-3.018000000000029,326.955,301.667
2019-04-03 11:00:00,259.945,12.453333333333331,49.45083333333333,425.7416666666666,0.0,0,43.521000000000015,294.959,331.378
2019-04-03 12:00:00,268.452,11.836666666666666,53.37833333333333,388.1166666666666,0.0,0,-11.495999999999981,259.945,338.44
2019-04-03 13:00:00,265.463,12.923333333333334,47.155,509.3250000000001,0.0,0,11.888999999999953,268.452,347.052
2019-04-03 14:00:00,274.363,12.709166666666668,50.27916666666667,516.225,0.0,0,4.591000000000008,265.463,333.716
2019-04-03 15:00:00,287.854,12.845833333333331,44.89166666666667,560.75,0.0,0,-21.440999999999974,274.363,324.337
2019-04-03 16:00:00,279.904,12.675833333333337,43.0075,290.3583333333333,0.0,0,-29.47800000000001,287.854,307.896
2019-04-03 17:00:00,242.476,12.2625,44.3375,244.46666666666667,0.0,0,27.745000000000005,279.904,305.425
2019-04-03 18:00:00,232.793,11.1325,53.10416666666666,25.320833333333336,0.0,0,-26.394000000000005,242.476,268.631
2019-04-03 19:00:00,196.716,10.589166666666666,58.32833333333334,1.2554999999999998,0.0,0,3.9579999999999984,232.793,239.654
2019-04-03 20:00:00,164.597,10.355,61.208333333333336,1.1125833333333333,0.0,0,17.608000000000004,196.716,197.506
2019-04-03 21:00:00,150.086,9.984166666666669,59.40916666666666,1.0455833333333333,0.0,0,1.4909999999999854,164.597,163.789
2019-04-03 22:00:00,137.066,9.67,60.01833333333334,1.6826666666666668,0.0,0,5.492999999999995,150.086,137.499
2019-04-03 23:00:00,129.539,9.551666666666668,58.307500000000005,0.8285833333333333,0.0,0,-16.32699999999997,137.066,132.639
2019-04-04 00:00:00,105.685,9.280833333333334,57.04083333333333,1.3113333333333337,0.0,0,4.958999999999989,129.539,122.973
2019-04-04 01:00:00,86.79,9.071666666666667,59.30916666666667,1.2628333333333333,0.0,0,19.200999999999993,105.685,117.657
2019-04-04 02:00:00,87.096,8.7675,61.05583333333333,1.1911666666666667,0.0,0,-2.834000000000003,86.79,97.741
2019-04-04 03:00:00,84.568,8.4425,62.84833333333333,1.38975,0.0,0,3.582000000000008,87.096,99.232
2019-04-04 04:00:00,85.622,8.2525,63.75,1.7684166666666667,0.0,0,15.105000000000004,84.568,98.614
2019-04-04 05:00:00,101.781,8.1425,63.65,1.8885,0.0,0,2.3789999999999907,85.622,98.464
2019-04-04 06:00:00,120.319,8.1525,63.41416666666667,31.03441666666667,0.0,0,36.93799999999999,101.781,101.39
2019-04-04 07:00:00,175.795,9.3525,57.310833333333335,195.66666666666663,0.0,0,1.9460000000000406,120.319,116.654
2019-04-04 08:00:00,233.217,10.431666666666668,51.10333333333333,397.95,0.0,0,-12.748000000000019,175.795,206.607
2019-04-04 09:00:00,277.891,11.305,49.62833333333333,560.7416666666667,0.0,0,-14.93900000000005,233.217,313.292
2019-04-04 10:00:00,307.626,12.384166666666667,42.69166666666666,576.8000000000001,0.0,0,-26.60199999999992,277.891,298.289
2019-04-04 11:00:00,310.759,12.556666666666668,42.516666666666666,440.95,0.0,0,1.3379999999999654,307.626,322.096
2019-04-04 12:00:00,315.23,13.559166666666668,36.58583333333333,814.1083333333332,0.0,0,-4.938000000000045,310.759,323.58
2019-04-04 13:00:00,314.763,13.22,38.071666666666665,564.2583333333333,0.0,0,-10.440999999999917,315.23,340.914
2019-04-04 14:00:00,303.855,12.7325,46.1375,307.6166666666667,0.0,0,8.122999999999934,314.763,325.815
2019-04-04 15:00:00,301.07,12.369166666666668,46.8475,261.6666666666667,0.0,0,-6.215999999999951,303.855,330.164
2019-04-04 16:00:00,292.069,11.923333333333334,50.126666666666665,174.53333333333333,0.0,0,-31.394000000000062,301.07,343.911
2019-04-04 17:00:00,251.674,10.599166666666669,69.80583333333334,50.52166666666667,0.1416666666666666,0,20.137,292.069,367.383
